Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,make,model
Hyundai i20 1.2 Magna,8,2010,45807,1,1,1,18.5,1197,80.0,5.0,10.0,1.87,Hyundai,1
Hyundai i20 Magna Optional 1.2,7,2014,35487,1,1,1,18.5,1197,82.9,5.0,10.0,4.74,Hyundai,1
Hyundai Grand i10 Sportz,2,2015,54000,1,1,3,18.9,1197,82.0,5.0,7.5,3.6,Hyundai,2
Hyundai i10 Asta,8,2010,32000,1,1,1,20.36,1197,78.9,5.0,6.5,2.07,Hyundai,3
Hyundai i10 Sportz 1.2 AT,7,2012,45178,1,2,1,16.95,1197,78.9,5.0,6.5,3.48,Hyundai,3
Hyundai i10 Sportz 1.2,10,2009,95980,1,1,1,20.36,1197,78.9,5.0,6.5,2.25,Hyundai,3
Hyundai Grand i10 Sportz,1,2016,16000,1,1,1,18.9,1197,82.0,5.0,7.5,5.75,Hyundai,2
Hyundai Verna Transform SX VGT CRDi,0,2010,70002,2,1,1,16.2,1493,110.0,5.0,13.5,3.45,Hyundai,4
Hyundai i20 1.4 CRDi Sportz,10,2011,78958,2,1,2,23.0,1396,90.0,5.0,10.0,3.8,Hyundai,1
Hyundai i20 Asta 1.2,9,2014,30180,1,1,1,18.5,1197,82.85,5.0,10.0,4.65,Hyundai,1
Hyundai i20 2015-2017 Asta,10,2009,66000,1,1,2,17.0,1197,80.0,5.0,10.0,2.7,Hyundai,1
Hyundai Verna 1.6 SX CRDI (O) AT,8,2014,40000,2,2,1,22.32,1582,126.32,5.0,13.5,5.25,Hyundai,4
Hyundai Verna CRDi 1.6 SX Option,8,2018,10250,2,1,1,22.0,1582,126.2,5.0,13.5,10.95,Hyundai,4
Hyundai Verna VTVT 1.6 AT SX Plus,7,2019,12645,1,2,1,17.0,1591,121.3,5.0,13.5,11.5,Hyundai,4
Hyundai i10 Magna 1.2,4,2013,60000,1,1,1,20.36,1197,78.9,5.0,6.5,2.75,Hyundai,3
Hyundai Grand i10 1.2 Kappa Asta,8,2019,1000,1,1,1,18.9,1197,81.86,5.0,7.5,6.5,Hyundai,2
Hyundai i20 Asta 1.4 CRDi,1,2014,29000,2,1,1,22.54,1396,88.73,5.0,10.0,8.35,Hyundai,1
Hyundai Verna 1.6 SX,4,2012,62000,2,1,1,22.32,1582,126.32,5.0,13.5,4.6,Hyundai,4
Hyundai i10 Magna 1.1,7,2017,52340,1,1,1,19.81,1086,68.05,5.0,6.5,4.04,Hyundai,3
Hyundai i10 Magna,6,2015,43571,1,1,1,20.36,1197,78.9,5.0,6.5,3.55,Hyundai,3
Hyundai i20 Asta Option 1.2,7,2016,61012,1,1,1,18.6,1197,81.83,5.0,10.0,6.0,Hyundai,1
Hyundai Verna 1.6 SX,6,2012,117837,2,1,2,22.32,1582,126.32,5.0,13.5,4.75,Hyundai,4
Hyundai i10 Magna 1.1,10,2012,44000,1,1,2,19.81,1086,68.05,5.0,6.5,2.9,Hyundai,3
Hyundai i20 Active 1.2 SX,3,2018,25166,1,1,1,17.19,1197,81.86,5.0,10.0,8.22,Hyundai,1
Hyundai i20 1.2 Magna Executive,7,2018,14960,1,1,1,18.6,1197,81.83,5.0,10.0,6.27,Hyundai,1
Hyundai i20 Sportz 1.4 CRDi,7,2015,56847,2,1,1,22.54,1396,88.73,5.0,10.0,7.2,Hyundai,1
Hyundai Grand i10 CRDi Era,9,2017,33000,2,1,1,24.0,1120,70.0,5.0,7.5,4.75,Hyundai,2
Hyundai i10 Era,6,2010,83000,1,1,1,19.81,1086,68.05,5.0,6.5,1.75,Hyundai,3
Hyundai Grand i10 Magna,9,2014,16514,1,1,1,18.9,1197,82.0,5.0,7.5,3.75,Hyundai,2
Hyundai Verna CRDi 1.6 SX,5,2008,143275,2,1,1,22.0,1582,126.2,5.0,13.5,2.6,Hyundai,4
Hyundai i20 1.2 Sportz,9,2010,52000,1,1,1,17.0,1197,80.0,5.0,10.0,2.8,Hyundai,1
Hyundai i10 Sportz,1,2010,36000,1,1,2,20.36,1197,78.9,5.0,6.5,3.25,Hyundai,3
Hyundai Verna 1.6 SX VTVT (O),7,2012,54308,1,1,1,17.1,1591,121.3,5.0,13.5,4.28,Hyundai,4
Hyundai i20 Magna Optional 1.4 CRDi,8,2013,46000,2,1,1,21.9,1396,88.8,5.0,10.0,3.11,Hyundai,1
Hyundai i20 Sportz AT 1.4,3,2014,45051,1,2,1,15.0,1396,98.6,5.0,10.0,5.96,Hyundai,1
Hyundai i10 Magna 1.2,5,2010,74000,1,1,1,20.36,1197,78.9,5.0,6.5,3.1,Hyundai,3
