Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,make,model
Maruti Wagon R LXI CNG,9,2010,72000,CNG,Manual,First,26.6,998,58.16,5.0,5.5,1.75,Maruti,Wagon
Maruti Ertiga VDI,2,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7.0,11.3,6.0,Maruti,Ertiga
Maruti Ciaz Zeta,7,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,11.1,9.95,Maruti,Ciaz
Maruti Swift VDI BSIV,6,2015,64424,Diesel,Manual,First,25.2,1248,74.0,5.0,8,5.6,Maruti,Swift
Maruti Swift DDiS VDI,6,2017,25000,Diesel,Manual,First,28.4,1248,74.0,5.0,8,5.99,Maruti,Swift
Maruti Alto K10 2010-2014 VXI,5,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,4.45,2.75,Maruti,Alto
Maruti Wagon R LXI BSIII,6,2009,83816,Petrol,Manual,Second,14.0,1061,64.0,5.0,5.5,1.85,Maruti,Wagon
Maruti Alto LXi,4,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,4.45,1.25,Maruti,Alto
Maruti Swift LDI,4,2014,52000,Diesel,Manual,First,22.9,1248,74.0,5.0,8,4.25,Maruti,Swift
Maruti Swift Ldi BSIV,8,2014,53000,Diesel,Manual,First,17.8,1248,75.0,5.0,8,3.3,Maruti,Swift
Maruti Swift VDI,4,2013,65650,Diesel,Manual,First,28.4,1248,74.0,5.0,8,3.85,Maruti,Swift
Maruti Ertiga SHVS VDI,10,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,11.3,8.15,Maruti,Ertiga
Maruti Swift VDI,6,2012,95100,Diesel,Manual,First,22.9,1248,74.0,5.0,8,3.75,Maruti,Swift
Maruti Wagon R VXI BS IV,1,2016,62000,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,4.45,Maruti,Wagon
Maruti Wagon R LXI BS IV,10,2011,43874,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,2.45,Maruti,Wagon
Maruti Wagon R LXI CNG,10,2013,89900,CNG,Manual,First,26.6,998,58.16,5.0,5.5,3.25,Maruti,Wagon
